NO.,Time,ms,mV,mV.1
139,16/06/2021 10:56,0,18.24,7.55
140,16/06/2021 10:56,0,17.2,7.15
141,16/06/2021 10:56,0,18.43,7.64
142,16/06/2021 10:56,0,9.91,4.17
143,16/06/2021 10:56,0,9.25,3.9
144,16/06/2021 10:57,0,9.05,3.81
145,16/06/2021 10:57,0,12.44,5.18
146,16/06/2021 10:57,0,14.91,6.16
147,16/06/2021 10:57,0,10.83,4.55
148,16/06/2021 10:57,0,14.27,5.97
149,16/06/2021 10:57,0,11.54,4.84
150,16/06/2021 10:58,0,10.77,4.52
151,16/06/2021 10:58,0,13.77,5.74
152,16/06/2021 10:58,0,12.5,5.26
153,16/06/2021 10:58,0,11.8,4.95
154,16/06/2021 10:58,0,13.74,5.74
155,16/06/2021 10:58,0,15.39,6.39
156,16/06/2021 10:59,0,15.36,6.41
157,16/06/2021 10:59,0,14.7,6.17
158,16/06/2021 10:59,0,14.76,6.2
159,16/06/2021 10:59,0,13.08,5.52
160,16/06/2021 10:59,0,11.43,4.82
161,16/06/2021 10:59,0,11.98,5.04
162,16/06/2021 11:00,0,14.3,5.99
163,16/06/2021 11:00,0,13.56,5.71
164,16/06/2021 11:00,0,12.51,5.26
165,16/06/2021 11:00,0,11.15,4.71
166,16/06/2021 11:00,0,14.88,6.24
167,16/06/2021 11:00,0,17.21,7.18
168,16/06/2021 11:01,0,17.57,7.32
169,16/06/2021 11:01,0,13.65,5.78
170,16/06/2021 11:01,0,17.2,7.19
171,16/06/2021 11:01,0,17.09,7.16
172,16/06/2021 11:01,0,16.95,7.11
173,16/06/2021 11:01,0,17.03,7.14
174,16/06/2021 11:02,0,16.16,6.8
175,16/06/2021 11:02,0,16.45,6.9
176,16/06/2021 11:02,0,16.64,6.99
177,16/06/2021 11:02,0,16.5,6.93
178,16/06/2021 11:02,0,16.28,6.85
179,16/06/2021 11:02,0,16.05,6.74
180,16/06/2021 11:03,0,16.16,6.79
181,16/06/2021 11:03,0,16.07,6.75
182,16/06/2021 11:03,0,15.82,6.65
183,16/06/2021 11:03,0,15.86,6.65
184,16/06/2021 11:03,0,15.79,6.64
185,16/06/2021 11:03,0,15.72,6.6
186,16/06/2021 11:04,0,15.63,6.57
187,16/06/2021 11:04,0,15.55,6.53
188,16/06/2021 11:04,0,15.53,6.53
189,16/06/2021 11:04,0,15.46,6.51
190,16/06/2021 11:04,0,15.45,6.49
191,16/06/2021 11:04,0,15.4,6.47
192,16/06/2021 11:05,0,15.31,6.45
193,16/06/2021 11:05,0,15.31,6.44
194,16/06/2021 11:05,0,15.31,6.44
195,16/06/2021 11:05,0,15.26,6.42
196,16/06/2021 11:05,0,15.25,6.41
197,16/06/2021 11:05,0,15.18,6.38
198,16/06/2021 11:06,0,15.18,6.39
199,16/06/2021 11:06,0,15.18,6.39
200,16/06/2021 11:06,0,15.11,6.36
201,16/06/2021 11:06,0,15.01,6.31
202,16/06/2021 11:06,0,14.92,6.28
203,16/06/2021 11:06,0,14.87,6.25
204,16/06/2021 11:07,0,14.73,6.2
205,16/06/2021 11:07,0,14.97,6.3
206,16/06/2021 11:07,0,14.98,6.3
207,16/06/2021 11:07,0,15.04,6.32
208,16/06/2021 11:07,0,15.04,6.32
209,16/06/2021 11:07,0,15.05,6.33
210,16/06/2021 11:08,0,15.1,6.34
211,16/06/2021 11:08,0,15.09,6.34
212,16/06/2021 11:08,0,15.14,6.37
213,16/06/2021 11:08,0,15.14,6.37
214,16/06/2021 11:08,0,15.15,6.37
215,16/06/2021 11:08,0,15.14,6.36
216,16/06/2021 11:09,0,15.14,6.37
217,16/06/2021 11:09,0,15.11,6.36
218,16/06/2021 11:09,0,15.16,6.38
219,16/06/2021 11:09,0,15.16,6.38
220,16/06/2021 11:09,0,15.26,6.42
221,16/06/2021 11:09,0,15.32,6.44
222,16/06/2021 11:10,0,15.32,6.45
223,16/06/2021 11:10,0,15.38,6.47
224,16/06/2021 11:10,0,15.46,6.5
225,16/06/2021 11:10,0,15.45,6.5
226,16/06/2021 11:10,0,15.34,6.45
227,16/06/2021 11:10,0,15.26,6.42
228,16/06/2021 11:11,0,15.07,6.34
229,16/06/2021 11:11,0,14.91,6.28
230,16/06/2021 11:11,0,14.75,6.22
231,16/06/2021 11:11,0,14.46,6.1
232,16/06/2021 11:11,0,14.36,6.05
233,16/06/2021 11:11,0,14.07,5.93
234,16/06/2021 11:12,0,14.31,6.04
235,16/06/2021 11:12,0,14.54,6.13
236,16/06/2021 11:12,0,14.82,6.25
237,16/06/2021 11:12,0,14.76,6.22
238,16/06/2021 11:12,0,14.46,6.1
239,16/06/2021 11:12,0,13.41,5.67
240,16/06/2021 11:13,0,12.54,5.29
241,16/06/2021 11:13,0,10.04,4.27
242,16/06/2021 11:13,0,7.24,3.1
243,16/06/2021 11:13,0,9.8,4.15
244,16/06/2021 11:13,0,13.54,5.68
245,16/06/2021 11:14,0,13.85,5.83
246,16/06/2021 11:14,0,14.13,5.94
247,16/06/2021 11:14,0,14.59,6.13
248,16/06/2021 11:14,0,15,6.3
249,16/06/2021 11:14,0,15.11,6.35
250,16/06/2021 11:14,0,15.14,6.37
251,16/06/2021 11:15,0,15.1,6.35
252,16/06/2021 11:15,0,14.87,6.26
253,16/06/2021 11:15,0,14.97,6.3
254,16/06/2021 11:15,0,14.96,6.3
255,16/06/2021 11:15,0,14.96,6.31
256,16/06/2021 11:15,0,14.88,6.27
257,16/06/2021 11:16,0,14.87,6.27
258,16/06/2021 11:16,0,14.83,6.25
259,16/06/2021 11:16,0,14.76,6.22
260,16/06/2021 11:16,0,14.69,6.2
261,16/06/2021 11:16,0,14.76,6.22
262,16/06/2021 11:16,0,14.79,6.23
263,16/06/2021 11:17,0,14.85,6.25
264,16/06/2021 11:17,0,14.58,6.15
265,16/06/2021 11:17,0,14.39,6.07
266,16/06/2021 11:17,0,13.97,5.9
267,16/06/2021 11:17,0,13.69,5.78
268,16/06/2021 11:17,0,13.9,5.87
