NO.,Time,ms,mV,mV.1
128,2021/05/19 12:40:26,0,16.26,6.87
129,2021/05/19 12:40:36,0,16.25,6.87
130,2021/05/19 12:40:46,0,16.26,6.86
131,2021/05/19 12:40:56,0,16.25,6.86
132,2021/05/19 12:41:06,0,16.23,6.86
133,2021/05/19 12:41:16,0,16.23,6.85
134,2021/05/19 12:41:26,0,16.25,6.86
135,2021/05/19 12:41:36,0,16.26,6.88
136,2021/05/19 12:41:46,0,16.28,6.88
137,2021/05/19 12:41:56,0,16.27,6.88
138,2021/05/19 12:42:06,0,16.27,6.88
139,2021/05/19 12:42:16,0,16.27,6.89
140,2021/05/19 12:42:26,0,16.28,6.9
141,2021/05/19 12:42:36,0,16.28,6.9
142,2021/05/19 12:42:46,0,16.3,6.9
143,2021/05/19 12:42:56,0,16.3,6.9
144,2021/05/19 12:43:06,0,16.3,6.91
145,2021/05/19 12:43:16,0,16.29,6.9
146,2021/05/19 12:43:26,0,16.3,6.91
147,2021/05/19 12:43:36,0,16.3,6.91
148,2021/05/19 12:43:46,0,16.3,6.92
149,2021/05/19 12:43:56,0,16.29,6.9
150,2021/05/19 12:44:06,0,16.29,6.9
151,2021/05/19 12:44:16,0,16.28,6.9
152,2021/05/19 12:44:26,0,16.29,6.9
153,2021/05/19 12:44:36,0,16.28,6.88
154,2021/05/19 12:44:46,0,16.27,6.88
155,2021/05/19 12:44:56,0,16.27,6.87
156,2021/05/19 12:45:06,0,16.26,6.86
157,2021/05/19 12:45:16,0,16.25,6.86
158,2021/05/19 12:45:26,0,16.25,6.87
159,2021/05/19 12:45:36,0,16.25,6.87
160,2021/05/19 12:45:46,0,16.26,6.87
161,2021/05/19 12:45:56,0,16.27,6.88
162,2021/05/19 12:46:06,0,16.28,6.88
163,2021/05/19 12:46:16,0,16.28,6.88
164,2021/05/19 12:46:26,0,16.28,6.87
165,2021/05/19 12:46:36,0,16.28,6.88
166,2021/05/19 12:46:46,0,16.29,6.87
167,2021/05/19 12:46:56,0,16.29,6.88
168,2021/05/19 12:47:06,0,16.29,6.88
169,2021/05/19 12:47:16,0,16.28,6.88
170,2021/05/19 12:47:26,0,16.29,6.88
171,2021/05/19 12:47:36,0,16.31,6.89
172,2021/05/19 12:47:46,0,16.31,6.89
173,2021/05/19 12:47:56,0,16.31,6.9
174,2021/05/19 12:48:06,0,16.31,6.9
175,2021/05/19 12:48:16,0,16.3,6.88
176,2021/05/19 12:48:26,0,16.32,6.89
177,2021/05/19 12:48:36,0,16.32,6.9
178,2021/05/19 12:48:46,0,16.33,6.9
179,2021/05/19 12:48:56,0,16.34,6.9
180,2021/05/19 12:49:06,0,16.32,6.9
181,2021/05/19 12:49:16,0,16.33,6.9
182,2021/05/19 12:49:26,0,16.34,6.92
183,2021/05/19 12:49:36,0,16.31,6.9
184,2021/05/19 12:49:46,0,16.29,6.89
185,2021/05/19 12:49:56,0,16.23,6.86
186,2021/05/19 12:50:06,0,16.22,6.85
187,2021/05/19 12:50:16,0,16.19,6.84
188,2021/05/19 12:50:26,0,16.19,6.84
189,2021/05/19 12:50:36,0,16.2,6.84
190,2021/05/19 12:50:46,0,16.21,6.85
191,2021/05/19 12:50:56,0,16.21,6.85
192,2021/05/19 12:51:06,0,16.17,6.85
193,2021/05/19 12:51:16,0,16.17,6.84
194,2021/05/19 12:51:26,0,16.15,6.84
195,2021/05/19 12:51:36,0,16.12,6.83
196,2021/05/19 12:51:46,0,16.16,6.84
197,2021/05/19 12:51:56,0,16.14,6.83
198,2021/05/19 12:52:06,0,16.14,6.82
199,2021/05/19 12:52:16,0,16.15,6.82
200,2021/05/19 12:52:26,0,16.09,6.79
